rule_id,title,path,origin,status,level,references_sysmon,static_scope_eligible,exclusion_reasons,sha256
a7ed3875-d941-ac17-9f8a-7828f6a11738,Suspicious HWP Sub Processes,sigma/builtin/process_creation/proc_creation_win_hwp_exploits.yml,sigma,test,high,False,False,,8276506b2897f9e7c63525b5a6655f227c955241ab45ecf375004cddc8984ff1
3135cfd1-5a2f-468b-9cf2-fbf03902985f,Potential Fake Instance Of Hxtsr.EXE Executed,sigma/builtin/process_creation/proc_creation_win_hxtsr_masquerading.yml,sigma,test,medium,False,False,,e45dd9702eaee90b525da776d9f2e0d4023f143c225c42240e82e12d2a316318
737bbf5e-7b83-3600-ebcc-76fd8f9c65ef,Use Icacls to Hide File to Everyone,sigma/builtin/process_creation/proc_creation_win_icacls_deny.yml,sigma,test,medium,False,False,,1e2292f50f2f5a12d8e035579858a08f2795c98f39fb34dfe630db28f9a21d45
b7adfc19-5e32-e2d7-a70c-a28e9a844564,File Download And Execution Via IEExec.EXE,sigma/builtin/process_creation/proc_creation_win_ieexec_download.yml,sigma,test,high,False,False,,57a9a4f590433a3ab26e71bf48112a21fae8ccde68bbe2c99b9dab2f771abbe0
2510ad44-2338-340a-8439-d99181aef4f2,Self Extracting Package Creation Via Iexpress.EXE From Potentially Suspicious Location,sigma/builtin/process_creation/proc_creation_win_iexpress_susp_execution.yml,sigma,test,high,False,False,,5e66c987b56d5dfc99abf575d44c5f5846cb3970e70dd66118890b2a0c3fb21c
3682c181-3b54-0cf3-cfdb-1d800bb7b125,Disable Windows IIS HTTP Logging,sigma/builtin/process_creation/proc_creation_win_iis_appcmd_http_logging.yml,sigma,test,high,False,False,,98f53056720f622c3dcc90f9eeb8bbd8ded60414e62d12554b5fca09767040bd
892fa867-a4bc-7858-dc5f-0f959244b3ca,Microsoft IIS Service Account Password Dumped,sigma/builtin/process_creation/proc_creation_win_iis_appcmd_service_account_password_dumped.yml,sigma,test,high,False,False,,7cf431ae623baf443740461a5a363eef6df998c85dcc9348951751376c6d938e
144c93b7-e660-277e-cd3c-0141893803ea,IIS Native-Code Module Command Line Installation,sigma/builtin/process_creation/proc_creation_win_iis_appcmd_susp_module_install.yml,sigma,test,medium,False,False,,17ec57947563b1a602fc9bef0333d11a5da27fa0c927ea4c100398f96e529f61
82956673-bd55-9f29-96a4-e5bdd4083071,Suspicious IIS URL GlobalRules Rewrite Via AppCmd,sigma/builtin/process_creation/proc_creation_win_iis_appcmd_susp_rewrite_rule.yml,sigma,test,medium,False,False,,2a517c9097804e98750e4acbbe03a0194972daa6e6217c8f07b41c6f05801085
c9722d26-25e3-6e45-3950-85182a7a1b35,Microsoft IIS Connection Strings Decryption,sigma/builtin/process_creation/proc_creation_win_iis_connection_strings_decryption.yml,sigma,test,high,False,False,,573bb7fab41fdc6660665490fae626b91cf1b66b3b1b8fe727954cfb9c48d6d3
bb67b9c1-36b4-5057-bac0-7c90c9147791,IIS WebServer Log Deletion via CommandLine Utilities,sigma/builtin/process_creation/proc_creation_win_iis_logs_deletion.yml,sigma,experimental,medium,False,False,,493e162a9fa3a985942d79400302c200d43b11fb6fdb7719f0802dc02d491c85
c4306817-4a47-606b-e363-d48b4d305f82,Suspicious IIS Module Registration,sigma/builtin/process_creation/proc_creation_win_iis_susp_module_registration.yml,sigma,test,high,False,False,,71713c1eeb375ef0fd0e28657f9e4975aea626b1e502400e3570cbcc2f144864
5ea0b54f-98b4-7cc7-6c38-01a53470b4e4,C# IL Code Compilation Via Ilasm.EXE,sigma/builtin/process_creation/proc_creation_win_ilasm_il_code_compilation.yml,sigma,test,medium,False,False,,34310ef0a7dc188695ea6b6aac856199acb35b135b524d174a0ba74cc260f702
bee3c5b9-5fce-49e8-2301-d000d81eba6e,ImagingDevices Unusual Parent/Child Processes,sigma/builtin/process_creation/proc_creation_win_imagingdevices_unusual_parents.yml,sigma,test,high,False,False,,be7e125841bebda1f9f71894537c95ba01defb69fc75ce9670997bf4fee0fda8
9a2b890c-d67f-9cbf-6350-4365c0828269,Arbitrary File Download Via IMEWDBLD.EXE,sigma/builtin/process_creation/proc_creation_win_imewbdld_download.yml,sigma,test,high,False,False,,b995ca1251ddece440428d4df5e15d0aeb63102f1b3758ff7ca18ccc36779717
f0e123c3-0e38-7799-a7bb-c5682449e2e8,InfDefaultInstall.exe .inf Execution,sigma/builtin/process_creation/proc_creation_win_infdefaultinstall_execute_sct_scripts.yml,sigma,test,medium,False,False,,959a6ed02ad908b566629c4f01a29d55c8bd3c8b9f35a2f767a583e4a6540b42
fb0cc82e-63f9-6098-cd32-7f78429aeb7a,File Download Via InstallUtil.EXE,sigma/builtin/process_creation/proc_creation_win_installutil_download.yml,sigma,test,medium,False,False,,99349095f6b7118e74e8a42e0b529142d5e2a5aa567d5aa615c692b8bf264fec
d39155d0-4154-66c0-1d94-6c61d77f27e7,Suspicious Execution of InstallUtil Without Log,sigma/builtin/process_creation/proc_creation_win_instalutil_no_log_execution.yml,sigma,test,medium,False,False,,72bcd3f862691a41e52b725b9565c6ceac6d3524d81258ed485fb4b8ab05b5e1
cb8f70fe-80c4-48c0-0473-656666b52064,Suspicious Shells Spawn by Java Utility Keytool,sigma/builtin/process_creation/proc_creation_win_java_keytool_susp_child_process.yml,sigma,test,high,False,False,,27de0d33be411443d6a5dc972890ab93733b0856bf7ae23bc11ed3ad7286173e
fa8c67ae-ace2-9a11-43d7-c5b5954ce489,Suspicious Child Process Of Manage Engine ServiceDesk,sigma/builtin/process_creation/proc_creation_win_java_manageengine_susp_child_process.yml,sigma,test,high,False,False,,cd172b35222cb359da4a8f4a1d9f99d493cac676bbe7036047f24da96aa56d16
e78082d8-696f-c684-d72a-e1b29ffbcc74,Java Running with Remote Debugging,sigma/builtin/process_creation/proc_creation_win_java_remote_debugging.yml,sigma,test,medium,False,False,,4242e69ec86cf21c4f5cf7eb1904e84a17fefd67e12d141111010d284139f334
095ae799-3f3b-554f-3c83-f8d48e711e72,Suspicious Processes Spawned by Java.EXE,sigma/builtin/process_creation/proc_creation_win_java_susp_child_process.yml,sigma,test,high,False,False,,43af0427e7c382dedc7b2facfba83a45dd14eb6833e6c7e46af624ec004a6351
15e3c45c-06b7-5da5-4bc0-66cf00fcc185,Shell Process Spawned by Java.EXE,sigma/builtin/process_creation/proc_creation_win_java_susp_child_process_2.yml,sigma,test,medium,False,False,,da3275e03232ed16a07713151a03f4914c389c7d2c2fbc600084f22a64c1a782
4acb4c4c-6e64-9353-58fa-113832d88626,JScript Compiler Execution,sigma/builtin/process_creation/proc_creation_win_jsc_execution.yml,sigma,test,low,False,False,,d045f7a6183f91d235a625e2e18fef3d4939c4515bc22add468921963c25e5b0
4dbb6aeb-a6f4-b360-d399-0b08844976b6,Kavremover Dropped Binary LOLBIN Usage,sigma/builtin/process_creation/proc_creation_win_kavremover_uncommon_execution.yml,sigma,test,high,False,False,,2df4d5bf330b87936aae8bbb3c50914321c2b18659665edfdfeb98b7a06ba10d
5f7d7535-bf69-3a27-8300-415e9b0ed170,Windows Kernel Debugger Execution,sigma/builtin/process_creation/proc_creation_win_kd_execution.yml,sigma,test,medium,False,False,,23336a4f224f1097fe7694388bc76a53511bf9a7c3924395e464e6e9113faac8
c642ffbe-eb4e-5b90-c10a-de01f70dcb68,Attempts of Kerberos Coercion Via DNS SPN Spoofing,sigma/builtin/process_creation/proc_creation_win_kerberos_coercion_via_dns_spn_spoofing.yml,sigma,experimental,high,False,False,,b702d6dfa046505d07715777846cd6f2dd58fdb7ba64e82608df017d15a7f5e4
b2e90afd-fc69-1c5c-0457-d908fe3c4335,Potentially Suspicious Child Process of KeyScrambler.exe,sigma/builtin/process_creation/proc_creation_win_keyscrambler_susp_child_process.yml,sigma,test,medium,False,False,,8a5c8d85431f805c15d55f855e8540c339ff9b65fb41575d2806eb3c801b7881
24b74db7-6d52-4791-9c5a-8e5de42df8f2,Computer Password Change Via Ksetup.EXE,sigma/builtin/process_creation/proc_creation_win_ksetup_password_change_computer.yml,sigma,test,medium,False,False,,8668445ea838f05152e45c0cca67d09e1193ba001e68fe4cb464803798b555ac
42949869-416c-aa49-476a-3f2a4b57aa8c,Logged-On User Password Change Via Ksetup.EXE,sigma/builtin/process_creation/proc_creation_win_ksetup_password_change_user.yml,sigma,test,medium,False,False,,8decac3e65819d6d9caf96ec0f1977f7a2e34963b88e0af0204dd72b35311724
49fe14e0-e6d2-95cc-58a2-431e7dd03cf5,Active Directory Structure Export Via Ldifde.EXE,sigma/builtin/process_creation/proc_creation_win_ldifde_export.yml,sigma,test,medium,False,False,,56282d387ae8935d3bc134da82f418f0c717472d32eee3e21b14b54bd30d9ee8
153a349d-2f66-9cce-ff30-aebbad4e103b,Import LDAP Data Interchange Format File Via Ldifde.EXE,sigma/builtin/process_creation/proc_creation_win_ldifde_file_load.yml,sigma,test,medium,False,False,,3872820694e8471a5ca687176610fa956c260925215e0c4ff4055f05f531da52
